rank,model,family,r2_mean,r2_std,neg_root_mean_squared_error_mean,neg_root_mean_squared_error_std,neg_mean_absolute_error_mean,neg_mean_absolute_error_std,fit_seconds,elapsed_seconds
1,ridge,linear,0.8674956596462755,0.018738694032677555,-5.41974320334107,0.266445545768519,-4.349871046103114,0.224216626949722,0.03861448764801025,0.13873299999977462
2,gradient_boosting,tree,0.846302821172413,0.024679802431261624,-5.8297987195379894,0.302523800034652,-4.704417280642,0.23188918332046543,0.2006441593170166,0.41828489999170415
3,xgboost,tree,0.8388095080852509,0.026775686757024224,-5.967798089981079,0.2852014240807697,-4.798023700714111,0.23506071481049198,0.2679638385772705,0.556302200013306
4,random_forest,tree,0.8346240344532244,0.026834023814848597,-6.046997843167947,0.29690305334358247,-4.843349751984126,0.23232537106953297,1.0920237064361573,2.2165249999961816
5,hist_gradient_boosting,tree,0.8340750259034596,0.021510300679110025,-6.069247262752549,0.27045653701146055,-4.839869152998931,0.20827597260243683,0.365421462059021,0.6767163000040455
6,lightgbm,tree,0.8269342841980561,0.025733641539166716,-6.193253464682993,0.3152649769282393,-4.909016957670178,0.25179367698219135,0.9312313556671142,1.57599549999577
7,extra_trees,tree,0.8260911046327601,0.029399822393377475,-6.199924754615546,0.2832491246575128,-4.997338541666667,0.20030950591723634,0.8585196971893311,1.8665941999934148
8,svm_rbf,kernel,0.7828745108382351,0.01925625835142403,-6.96218831152167,0.42023232876780964,-5.397931824389923,0.2909074449589962,0.06612701416015625,0.21184649999486282
9,knn,neighbors,0.7824788224942678,0.01781302637746205,-6.967271946503962,0.36571385461710293,-5.597625,0.30105047853308586,0.03943479061126709,0.14843580000160728
10,baseline_mean,dummy,-0.007500283188779444,0.00550320390072863,-15.01693421080632,0.7225736568438497,-11.967095703125,0.7939712145533596,0.12541840076446534,5.404989000002388
