rank,model,family,f1_macro_mean,f1_macro_std,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,fit_seconds,elapsed_seconds
1,hist_gradient_boosting,tree,0.9674140366089892,0.008525835101640237,0.96875,0.008838834764831837,0.9674468178914513,0.007871784730833156,1.008683967590332,1.9816262000094866
2,logistic_regression,linear,0.966788165904739,0.016449700848919287,0.9668750000000002,0.015823736126465197,0.9767077994433254,0.011384228460860362,0.08289177417755127,0.26323799999954645
3,gradient_boosting,tree,0.9667043701851556,0.014034920589428866,0.968125,0.013243512562760682,0.9647896894365452,0.016028160593515244,0.9187922477722168,1.7384912999987137
4,lightgbm,tree,0.9663703565197824,0.01523610197766022,0.9675,0.014469796128487797,0.9663289730318898,0.01648802231131535,3.498309826850891,5.777071100004832
5,xgboost,tree,0.96331666607151,0.013200676918934824,0.9643750000000001,0.013125000000000001,0.9600082162536507,0.013485284449381645,0.4139257907867432,0.8609763999993447
6,random_forest,tree,0.9611056418271303,0.015329758833101736,0.9625,0.013975424859373694,0.962370648695116,0.01516924837014493,1.1836052417755127,2.708921299999929
7,extra_trees,tree,0.9534644717036065,0.021160812445602833,0.9549999999999998,0.020501524333570886,0.9451395808893792,0.0252170145500416,1.0261397123336793,2.252957899996545
8,svm_rbf,kernel,0.947349117489734,0.011515223190703337,0.9481249999999999,0.010843344733060927,0.963987951334027,0.009445962429377688,0.13979973793029785,0.41093220000038855
9,knn,neighbors,0.8670239003645079,0.02907301803852661,0.880625,0.023791082888342845,0.8419743854817362,0.0339838378414282,0.07359912395477294,0.3570710999920266
10,baseline_majority,dummy,0.22734641589860444,0.0007255495470983808,0.5175000000000001,0.0025000000000000356,0.33333333333333337,5.551115123125783e-17,0.05741419792175293,0.38425760000245646
